domain,keyword,search_volume,competition,competition_level,cpc,last_updated_time,organic_pos_1,organic_pos_2_3,organic_pos_4_10,organic_pos_11_20,organic_pos_21_30,organic_pos_31_40,organic_pos_41_50,organic_pos_51_60,organic_pos_61_70,organic_pos_71_80,organic_pos_81_90,organic_pos_91_100,paid_pos_1,paid_pos_2_3,paid_pos_4_10,paid_pos_11_20,paid_pos_21_30,paid_pos_31_40,paid_pos_41_50,paid_pos_51_60,paid_pos_61_70,paid_pos_71_80,paid_pos_81_90,paid_pos_91_100,organic_etv,paid_etv,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01,2023-12,2023-11
covertswarm.com,ethical hacking service,70,0.3400000035762787,MEDIUM,15.859999656677246,2024-11-12 16:00:09 +00:00,0,7,93,188,185,305,349,338,353,345,320,259,0,0,0,0,0,0,0,0,0,0,0,0,6648.431563787162,0.0,90,90,70,70,90,90,70,70,50,70,90,70
covertswarm.com,ethical hacking services,70,0.3400000035762787,MEDIUM,15.859999656677246,2024-11-10 15:57:26 +00:00,0,7,93,188,185,305,349,338,353,345,320,259,0,0,0,0,0,0,0,0,0,0,0,0,6648.431563787162,0.0,90,90,70,70,90,90,70,70,50,70,90,70
covertswarm.com,hacking services,170,0.009999999776482582,LOW,,2024-11-11 11:27:30 +00:00,0,7,93,188,185,305,349,338,353,345,320,259,0,0,0,0,0,0,0,0,0,0,0,0,6648.431563787162,0.0,110,170,170,170,170,210,170,170,210,260,210,170
covertswarm.com,cell phone hacking services,30,0.3199999928474426,LOW,2.450000047683716,2024-11-09 19:44:12 +00:00,0,7,93,188,185,305,349,338,353,345,320,259,0,0,0,0,0,0,0,0,0,0,0,0,6648.431563787162,0.0,10,10,10,10,10,30,10,30,260,20,10,10
covertswarm.com,ethical hacker services,70,0.3400000035762787,MEDIUM,15.859999656677246,2024-11-14 17:03:54 +00:00,0,7,93,188,185,305,349,338,353,345,320,259,0,0,0,0,0,0,0,0,0,0,0,0,6648.431563787162,0.0,90,90,70,70,90,90,70,70,50,70,90,70
covertswarm.com,hacking service,480,0.009999999776482582,LOW,5.110000133514404,2024-11-11 07:11:45 +00:00,0,7,93,188,185,305,349,338,353,345,320,259,0,0,0,0,0,0,0,0,0,0,0,0,6648.431563787162,0.0,260,320,1300,1600,390,390,320,320,210,260,320,210
covertswarm.com,red team as a service,20,0.4399999976158142,MEDIUM,,2024-11-15 05:20:45 +00:00,0,7,93,188,185,305,349,338,353,345,320,259,0,0,0,0,0,0,0,0,0,0,0,0,6648.431563787162,0.0,10,20,20,20,20,20,20,10,30,50,20,20
covertswarm.com,red teaming as a service,20,0.4399999976158142,MEDIUM,,2024-11-12 02:38:52 +00:00,0,7,93,188,185,305,349,338,353,345,320,259,0,0,0,0,0,0,0,0,0,0,0,0,6648.431563787162,0.0,10,20,20,20,20,20,20,10,30,50,20,20
covertswarm.com,hackers services,480,0.009999999776482582,LOW,5.110000133514404,2024-11-09 23:05:39 +00:00,0,7,93,188,185,305,349,338,353,345,320,259,0,0,0,0,0,0,0,0,0,0,0,0,6648.431563787162,0.0,260,320,1300,1600,390,390,320,320,210,260,320,210
covertswarm.com,how to prevent a worm virus,50,0.07999999821186066,LOW,2.1700000762939453,2024-11-14 09:22:27 +00:00,0,7,93,188,185,305,349,338,353,345,320,259,0,0,0,0,0,0,0,0,0,0,0,0,6648.431563787162,0.0,50,50,70,70,50,50,110,70,50,50,40,40
